CaseID,B3,ND2,B7_b,GH1,ppeducat,ppethm,weight_pop
282,0,3,1,1,3,1,20117.9797
283,0,3,1,3,3,1,33949.8607
284,1,3,2,2,4,1,13900.4068
285,1,3,2,1,4,2,26130.5262
286,1,3,2,1,3,1,25577.0393
287,1,3,2,2,3,1,15736.0434
288,1,3,2,2,3,1,10649.333
289,1,3,1,3,1,1,14467.5926
290,1,3,3,2,4,3,37592.4328
291,1,2,3,3,1,1,21053.5119
292,1,3,2,2,2,1,19454.1777
293,0,2,1,2,4,1,10965.4948
294,0,3,1,1,3,1,20254.2492
295,1,3,1,1,4,1,19790.4153
296,0,2,1,1,3,2,17167.2852
297,0,3,1,1,4,1,11703.031
298,1,2,2,2,4,1,15644.4908
299,0,3,2,1,4,1,13613.9724
300,1,3,2,1,4,1,15321.6202
301,0,1,1,1,3,1,16844.592
302,1,2,2,1,4,1,15321.6202
303,1,3,2,1,3,1,19501.1224
304,1,3,2,3,3,1,21065.5409
305,1,3,2,2,2,1,16258.6986
306,0,3,2,2,2,1,20699.9577
307,1,3,3,1,3,1,18693.8355
308,1,3,2,1,3,1,30998.7086
309,1,2,2,1,4,1,25685.9139
310,1,3,2,2,4,1,11248.1266
311,1,3,2,1,2,1,18746.3744
312,0,1,2,2,2,1,27765.0647
313,1,2,1,1,2,1,16639.2413
314,0,1,2,3,4,1,15321.6202
315,1,3,3,2,4,1,8441.2201
316,0,3,2,3,4,1,14004.4673
317,1,2,2,1,4,1,13090.7683
318,1,2,1,4,1,4,38402.088
319,1,2,1,1,4,1,13207.1118
320,1,3,2,4,3,1,14305.0933
321,1,2,2,3,4,1,21369.1931
322,0,5,1,2,4,1,13763.8121
323,0,3,1,1,4,2,11074.0956
324,0,3,1,2,4,1,13063.8424
325,1,3,2,2,4,1,21793.3678
326,0,3,1,3,4,2,16311.9051
327,1,3,1,1,4,1,14576.2789
328,0,3,1,2,3,1,25652.3835
329,1,3,2,1,2,1,17404.0326
330,1,2,2,1,4,1,10305.5614
331,1,3,2,2,3,1,16705.3888
332,0,3,2,1,2,1,16389.9298
333,1,3,2,1,4,1,15321.6202
334,0,1,3,4,1,4,38224.6514
335,0,3,1,1,1,1,26482.4304
336,0,3,1,2,3,1,12892.2779
337,0,2,2,2,4,1,13090.7683
338,1,1,2,3,4,1,10305.5614
339,1,3,3,3,3,2,24760.4106
340,1,2,2,1,3,1,17027.4708
341,0,3,3,3,4,2,16311.9051
342,1,3,2,4,1,4,43921.5933
343,1,3,2,1,2,1,28383.1341
344,1,3,3,2,2,1,15280.2056
345,1,2,2,2,4,1,27746.4885
346,0,1,2,1,4,1,19790.4153
347,1,3,2,3,1,4,52911.6863
348,0,2,1,1,4,1,21515.8307
349,1,2,2,3,3,1,18932.1979
350,0,3,2,1,2,5,11327.3877
351,1,3,3,3,1,1,22907.0083
352,0,3,2,1,3,1,25291.9499
353,0,3,2,2,2,1,22386.3929
354,1,3,2,2,2,1,20929.5501
355,1,2,3,2,2,1,17339.9346
356,1,3,2,2,2,1,14152.9194
357,1,3,2,3,2,1,46813.5632
358,1,3,1,1,2,1,15051.257
359,1,3,1,2,3,1,13855.2246
360,1,3,2,1,4,2,19799.3672
361,0,3,1,3,1,1,21434.0698
362,0,2,1,1,2,1,15320.7296
363,1,2,3,3,2,1,47278.1501
364,0,3,2,2,4,1,9118.3914
365,0,3,2,2,4,1,14140.9356
366,1,3,1,3,2,1,16391.8927
367,1,3,1,3,1,5,17215.9803
368,1,5,2,2,2,2,33035.7919
369,1,3,1,3,2,1,14152.9194
370,1,3,2,4,4,1,13900.4068
371,1,2,3,2,3,1,12233.8219
372,1,3,2,2,3,1,13965.5005
373,1,3,1,1,4,4,8840.1091
374,1,2,2,3,2,2,49239.5487
375,1,3,3,1,4,2,26467.5892
376,0,3,2,2,2,1,29155.6554
377,0,3,2,1,4,1,14001.9772
378,1,2,2,2,3,1,16705.3888
380,0,3,2,3,3,1,23413.66
381,1,3,2,1,4,1,15092.0511
382,1,3,2,1,1,1,19818.4677
383,1,3,1,3,4,1,15501.4887
384,0,3,2,2,4,1,14140.9356
385,1,3,2,1,4,2,16899.1825
386,0,3,2,2,4,4,15978.5584
387,0,3,1,2,2,1,22142.6835
388,1,2,2,1,2,1,34885.8981
389,1,3,2,1,3,1,18393.4481
390,1,3,1,2,3,1,19689.1633
391,1,3,3,4,4,1,15882.4633
392,1,3,2,2,2,1,22181.6458
393,1,3,1,1,2,1,19284.4019
394,1,1,1,3,3,1,19475.5771
395,0,1,2,3,4,4,22438.3553
396,1,3,1,1,3,1,26326.1987
397,1,2,3,1,4,1,10305.5614
398,0,3,1,2,4,1,10305.5614
399,0,3,2,2,4,1,19152.5501
400,0,3,1,2,4,1,10857.7405
401,1,3,2,2,3,1,14305.0933
402,1,2,2,1,4,1,15321.6202
403,0,3,1,2,3,1,20089.3827
404,1,3,2,1,3,1,42377.3402
405,1,3,1,3,3,3,24075.7338
406,1,3,1,1,3,1,25043.4142
407,1,3,2,1,4,1,16302.7652
408,1,3,2,3,3,1,15987.9468
409,0,3,2,2,4,1,12868.1023
410,1,3,1,1,4,1,19892.9415
411,0,3,2,2,4,1,16853.3823
412,0,1,2,2,4,1,20481.7834
413,0,3,2,1,2,5,13817.5687
414,1,3,1,1,2,2,53047.7009
415,1,3,2,1,4,2,15898.4642
416,1,3,2,1,4,1,30850.2665
417,0,3,1,3,4,1,16733.4566
418,0,3,1,1,1,4,80826.745
419,1,3,3,2,4,1,15092.0511
420,1,2,2,2,4,1,16899.5227
421,0,1,1,2,4,1,13090.7683
422,1,3,2,2,4,1,10151.1496
423,0,3,1,1,2,1,15051.257
424,0,2,3,3,3,4,15231.9931
425,1,3,2,2,3,1,13577.5963
426,0,3,1,3,4,1,13900.4068
427,0,4,1,2,2,1,15051.257
428,1,3,2,1,2,1,20210.8441
429,1,3,2,1,4,2,29053.5394
430,0,3,3,2,4,1,15321.6202
431,0,2,1,3,4,3,30058.8039
432,1,3,2,1,3,1,23982.9993
433,0,3,3,1,4,1,12153.1069
434,0,2,1,2,3,1,23982.9993
435,1,3,3,2,2,1,17477.1008
436,1,3,2,1,2,1,28104.2223
437,1,2,1,1,3,1,32983.7615
438,1,3,2,1,4,1,30850.2665
439,0,3,1,1,4,1,7350.178
440,1,3,2,1,4,4,21359.9716
441,1,2,2,4,3,4,29392.9448
442,1,2,2,2,4,2,16140.2999
443,1,2,2,2,4,1,16899.5227
444,1,3,3,3,4,1,8544.126399999999
445,1,3,2,1,3,1,13374.1585
446,1,3,1,1,3,1,20617.8134
447,1,3,2,1,4,1,25685.9139
448,1,2,2,2,4,1,14052.8508
449,0,3,1,2,2,1,17903.5345
450,1,3,2,2,4,1,13090.7683
451,0,3,1,1,1,1,38436.3086
452,1,1,2,1,4,1,13063.8424
453,1,3,3,1,3,5,6957.7528
454,0,3,3,3,3,5,11114.6517
455,1,3,2,1,4,1,12570.0952
456,1,2,2,2,3,1,24347.811
457,0,3,2,1,4,1,30850.2665
458,1,1,3,2,4,1,27746.4885
459,1,3,2,2,3,1,17011.7611
460,1,3,2,3,4,1,9626.1235
461,1,5,1,1,2,1,12111.1869
462,1,3,2,2,1,1,19435.5888
463,1,3,2,3,4,4,19497.3383
464,1,3,3,1,2,5,12969.3468
465,1,3,3,2,2,2,26575.7818
466,1,3,2,1,2,1,16258.6986
467,0,3,1,1,4,3,21756.9117
468,1,3,2,2,4,1,13900.4068
469,0,3,1,2,2,1,19162.689
470,1,3,3,4,2,1,30186.4321
471,1,2,3,1,4,1,13299.2109
472,1,4,2,1,4,1,13289.8954
473,0,3,2,2,4,1,13090.7683
474,1,3,2,2,1,1,24744.6537
475,0,3,1,2,1,1,21053.5119
476,1,3,1,2,2,1,37119.8736
477,1,2,2,1,3,1,25291.9499
478,1,2,3,2,4,1,14140.9356
479,1,2,2,1,4,1,12641.8712
480,1,1,1,3,3,1,21654.1543
481,1,3,1,2,3,1,12933.6528
482,1,2,2,1,3,1,26472.4545
483,1,3,1,1,3,1,30038.9379
484,1,3,2,2,2,1,17404.0326
485,0,2,2,2,4,1,8930.844499999999
486,1,3,2,2,2,1,36242.7783
487,0,3,2,2,3,4,14300.5259
488,0,3,1,3,2,1,17782.6816
489,1,2,2,2,4,1,21579.2115
490,1,2,2,1,4,3,29150.803
491,0,3,1,1,4,1,20481.7834
492,0,4,1,2,4,1,10965.4948
493,1,3,1,1,3,1,12953.5659
494,0,3,1,3,2,2,23235.1701
495,0,3,1,2,2,1,22386.3929
496,0,3,1,1,3,1,15748.3939
497,1,3,2,1,2,1,27052.0386
498,1,4,2,1,4,1,27746.4885
499,1,3,2,3,2,2,29582.1365
500,1,3,2,1,4,1,13090.7683
501,0,3,2,3,4,1,10409.0856
502,1,3,2,1,3,1,30702.6562
503,1,2,3,3,3,2,31593.5977
504,0,2,2,1,3,2,30054.151
505,0,3,2,3,4,1,21555.6205
506,1,3,2,1,4,2,16490.7957
507,1,1,2,2,4,5,4282.3836
508,0,2,2,2,3,1,13577.5963
509,0,3,1,2,4,1,7300.0882
510,1,2,3,2,2,1,18596.2755
511,0,1,1,1,2,1,16258.6986
512,1,3,1,2,3,1,32347.7257
513,0,3,2,2,2,1,15923.6687
514,1,3,2,2,3,1,10509.691
515,0,3,1,2,4,1,16302.7652
516,1,3,2,3,4,1,21369.1931
517,1,3,2,2,3,1,13704.3897
518,0,3,1,2,4,1,10857.7405
519,1,3,3,2,4,1,11248.1266
520,1,3,3,1,4,2,19604.8053
521,0,3,1,2,3,1,14305.0933
522,0,3,1,3,4,1,23687.5548
523,1,2,2,2,3,1,13294.827
524,0,3,1,3,3,1,11981.7294
525,1,3,3,2,2,1,17530.7834
526,1,3,2,1,4,1,21072.4714
527,1,2,3,1,4,1,9731.6919
528,1,3,1,4,2,1,63360.0998
529,0,2,2,1,2,5,17962.2974
530,1,2,1,2,3,1,13150.606
531,0,3,1,1,3,1,32983.7615
532,0,3,2,3,4,4,11471.384
533,1,3,1,2,3,1,16361.1544
534,0,3,2,2,2,1,20050.4706
535,0,3,2,3,4,1,10305.5614
536,1,2,2,3,3,1,24124.51
537,0,3,1,2,2,1,15051.257
538,1,3,2,1,2,2,33954.6643
539,0,3,2,2,3,1,27062.0785
540,0,2,1,2,3,1,18597.4579
541,1,2,1,3,4,1,21279.8529
542,1,2,2,1,4,1,16142.5632
543,0,2,1,2,3,1,17821.3844
544,1,3,2,2,2,1,15280.2056
545,0,1,1,1,2,4,31538.1668
546,1,3,3,3,4,2,25574.1687
548,0,1,1,1,4,2,21493.2073
549,1,3,2,3,3,1,13855.2246
550,1,2,2,1,3,1,11497.5571
551,1,3,3,1,3,1,15973.3754
552,0,3,1,2,2,1,16183.5754
553,1,3,2,2,3,1,13758.0015
554,1,3,2,1,4,1,9626.1235
555,1,2,2,1,4,1,15321.6202
556,0,3,2,2,2,1,23188.1982
557,1,2,2,2,3,1,21722.5301
558,1,2,3,2,4,1,8657.652
559,0,3,2,2,2,1,16098.9296
560,0,3,2,2,2,1,18800.2184
561,1,3,2,3,3,1,20250.0111
562,1,3,2,1,4,1,28993.6131
563,1,1,2,1,3,1,34466.2864
564,1,3,1,1,2,1,23137.7242
565,1,3,2,1,3,1,24770.7792
566,1,3,1,1,4,1,9019.476000000001
567,1,3,3,3,3,4,21500.7201
568,1,2,3,1,4,4,22727.7922
569,0,1,1,1,3,1,13374.1585
570,0,2,2,1,3,1,17027.4708
571,1,3,3,2,2,2,25301.7277
572,1,3,2,1,2,4,40459.8301
573,0,3,1,1,3,1,20450.9761
574,1,3,2,1,4,1,10512.3875
575,1,3,1,4,4,2,23515.4649
576,0,2,1,3,1,1,19435.5888
577,1,4,3,2,4,1,20481.7834
578,0,3,1,1,3,1,13704.3897
579,1,3,2,1,2,1,26275.2794
580,1,3,2,1,4,1,16302.7652
581,1,2,3,2,4,1,16302.7652
582,1,2,2,2,4,1,14001.9772
583,0,3,1,2,4,1,21579.2115
584,0,3,2,1,4,1,13900.4068
585,1,3,3,1,4,1,14140.9356
586,0,3,1,2,2,1,18596.2755
587,0,3,1,1,3,1,13863.2747
588,1,3,2,1,4,1,12517.6437
589,1,3,2,3,3,1,16361.7927
590,1,3,2,2,3,1,11072.8075
591,1,1,1,1,4,1,25979.7551
592,0,2,2,2,3,1,11325.2852
593,1,3,1,2,4,1,13090.7683
594,0,3,1,1,4,3,29150.803
595,1,5,2,3,2,1,18800.2184
596,1,3,2,3,3,1,11650.3249
597,0,3,1,1,2,1,18746.3744
598,0,3,3,2,4,1,13063.8424
599,1,3,2,2,1,3,72675.2684
600,1,3,2,2,2,4,36936.9117
601,1,1,3,2,4,5,4767.07
602,0,3,2,2,3,1,10352.2207
603,0,3,1,1,2,1,20411.4205
604,0,2,2,2,3,1,27062.0785
605,1,2,3,1,4,1,16142.5632
606,1,3,1,4,3,4,14457.3579
607,1,3,2,3,3,5,11033.7386
608,1,2,3,2,2,1,20929.5501
609,1,3,2,1,3,1,16131.8983
610,1,3,2,1,3,1,14007.173
611,1,3,3,2,3,1,11402.9941
612,0,2,2,2,4,1,14140.9356
613,0,1,3,2,2,1,16024.5446
614,0,3,1,1,3,1,30998.7086
615,0,3,1,1,1,1,17327.2595
616,1,3,3,2,3,1,13150.606
617,0,3,1,2,2,1,16098.9296
618,0,5,1,2,3,1,17011.7611
619,0,2,1,2,3,4,33709.3085
620,1,3,3,2,1,4,23903.9541
621,0,3,1,2,3,1,13095.626
622,1,3,2,2,4,1,10965.4948
623,1,3,2,2,1,1,26509.7717
624,0,4,2,1,2,4,39421.2783
625,0,3,1,1,4,1,13289.8954
626,1,3,1,3,2,1,17709.3186
627,1,3,1,3,2,4,45621.6696
628,1,3,1,2,3,5,5528.8393
629,1,4,2,2,4,2,20322.4329
631,1,3,3,2,4,1,16093.4932
632,0,2,2,1,4,3,17127.8861
633,0,2,1,1,4,2,13186.4986
634,1,3,1,2,3,1,14305.0933
635,1,3,3,1,3,1,24347.811
636,0,2,2,1,4,1,16302.7652
637,0,3,2,2,2,1,15483.2334
638,0,3,2,2,4,1,16733.4566
639,0,3,2,1,2,1,24619.3862
640,1,3,1,2,4,1,20174.8978
641,0,3,1,1,4,1,10398.3501
642,1,2,2,1,4,1,15092.0511
643,1,3,3,2,4,3,11256.4467
644,1,2,1,1,2,1,16258.6986
645,0,3,1,1,4,4,10963.1223
646,0,2,1,4,3,2,34128.0984
647,1,2,4,3,3,1,12113.6041
648,0,3,1,2,1,1,20728.0943
649,1,3,2,3,4,1,4787.5224
650,0,3,2,1,4,1,13431.1949
651,1,3,2,2,2,1,17404.0326
652,1,3,1,2,3,1,16541.2304
653,1,3,3,1,4,2,29053.5394
654,0,3,1,1,4,1,16302.7652
655,0,3,1,3,4,3,19162.3062
656,1,3,1,2,4,1,13289.8954
657,1,3,1,1,3,1,16131.8983
658,1,3,2,1,4,1,20850.7995
659,0,1,2,2,4,3,24240.4411
660,0,3,2,2,2,1,23370.1537
661,0,2,2,2,2,1,15280.2056
662,1,2,1,2,3,1,25043.4142
663,0,3,1,3,4,1,9731.6919
664,0,3,2,2,2,1,20271.1524
665,0,1,2,3,3,1,21722.5301
666,1,2,4,3,4,1,23922.6348
667,0,2,2,1,3,1,24037.7432
668,0,3,1,1,4,1,12517.6437
669,1,1,2,1,4,1,30850.2665
670,1,2,2,2,3,5,5356.1705
671,0,3,1,2,2,1,15209.6036
672,1,3,2,2,2,1,22386.3929
673,0,3,1,2,3,1,16524.1704
674,1,3,3,1,4,1,14140.9356
675,0,3,1,2,4,1,16142.5632
676,1,3,4,2,4,1,20174.8978
677,1,3,2,1,3,1,12233.8219
678,1,4,3,3,3,4,22877.5538
679,1,5,1,1,3,1,24193.2587
680,1,3,1,1,3,1,13855.2246
681,0,3,1,3,2,1,23443.4148
682,1,3,2,1,4,1,13468.8729
683,1,2,1,2,1,1,26228.611
684,1,3,2,2,2,1,24377.4595
685,1,3,2,2,4,1,8441.2201
686,1,3,2,2,4,1,13090.7683
687,1,3,2,1,2,1,22386.3929
688,0,3,2,2,3,1,13613.6049
689,1,3,2,2,2,1,20929.5501
690,1,3,2,2,2,1,11611.0852
691,1,2,2,1,4,1,20220.9492
692,0,3,1,1,3,3,34784.5668
693,0,3,1,2,2,1,22142.6835
694,1,3,2,1,2,1,19240.2467
695,0,3,1,3,3,1,20450.9761
696,1,2,1,3,1,1,34139.8977
697,1,2,3,3,1,2,27999.4238
698,1,3,1,1,2,1,9870.8712
699,0,3,1,3,2,1,18413.5359
700,1,1,2,2,3,1,13992.7265
